"Contract Number","Plan Count","Organization Name","Organization Marketing Name","Parent Organization"
"H2458","1","MEDICA HEALTH PLANS","Medica","Medica Holding Company"
"H2461","6","BCBSM, Inc.","Blue Cross and Blue Shield of Minnesota","Aware Integrated, Inc."
"H2462","5","HEALTHPARTNERS, INC.","HealthPartners","HealthPartners, Inc."
"H2463","1","HUMANA HEALTH PLAN OF TEXAS, INC.","Humana","Humana Inc."
"H2478","1","MOLINA HEALTHCARE OF NEVADA INC","Molina Healthcare of Nevada","Molina Healthcare, Inc."
"H2486","7","HUMANA MEDICAL PLAN OF UTAH, INC.","Humana","Humana Inc."
"H2491","9","WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","Wellcare","Centene Corporation"
"H2509","3","UNITEDHEALTHCARE OF FLORIDA, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H2526","3","DEVOTED HEALTH PLAN OF OHIO INC","Devoted Health","Devoted Health, Inc."
"H2541","2","AGEWELL PACE","AgeWell PACE","AgeWell PACE"
"H2563","1","SENTARA HEALTH PLANS","Sentara Medicare","Sentara Health Care (SHC)"
"H2564","1","AMERIHEALTH CARITAS LOUISIANA, INC.","AmeriHealth Caritas VIP Care (HMO-SNP)","Independence Health Group, Inc."
"H2593","16","WELLPOINT TEXAS, INC.","Wellpoint","Elevance Health, Inc."
"H2610","14","ESSENCE HEALTHCARE, INC.","Essence Healthcare","Lumeris Group Holdings Corporation"
"H2624","1","CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA","HealthTeam Advantage","Risant Health, Inc."
"H2628","4","COMMUNITY INSURANCE COMPANY","Anthem Blue Cross and Blue Shield","Elevance Health, Inc."
"H2630","2","VERDA HEALTH PLAN OF ARIZONA, INC.","Verda Health Plan of Arizona","Verda Healthcare, Inc."
"H2663","33","COVENTRY HEALTH CARE OF MISSOURI, INC.","Aetna Medicare","CVS Health Corporation"
"H2686","7","DEVOTED HEALTH INSURANCE COMPANY OF HAWAII INC","Devoted Health","Devoted Health, Inc."
"H2687","1","WELLPOINT SOUTH CAROLINA, INC.","Wellpoint","Elevance Health, Inc."
"H2694","2","ETERNALHEALTH, INC.","eternalHealth","Eternal Health of Delaware, Inc."
"H2697","16","DEVOTED HEALTH PLAN OF OHIO, INC.","Devoted Health","Devoted Health, Inc."
"H2704","2","KAISER FOUNDATION HP, INC.","Kaiser Permanente","Kaiser Foundation Health Plan, Inc."
"H2715","2","MOLINA HEALTHCARE OF ILLINOIS INC","Molina Healthcare of Illinois","Molina Healthcare, Inc."
"H2737","4","HEALTH NEW ENGLAND, INC.","Health New England Medicare Advantage Plans","Baystate Health, Inc."
"H2752","1","BRAVO HEALTH PENNSYLVANIA, INC.","HealthSpring","Health Care Service Corporation"
