"Contract Number","Plan Count","Organization Name","Organization Marketing Name","Parent Organization"
"H4152","8","BLUE CROSS & BLUE SHIELD OF RHODE ISLAND","Blue Cross & Blue Shield of Rhode Island","Blue Cross & Blue Shield of Rhode Island"
"H4158","1","BUCKEYE COMMUNITY HEALTH PLAN, INC.","Wellcare","Centene Corporation"
"H4161","15","BLUE CROSS OF CALIFORNIA PARTNERSHIP PLAN, INC.","Anthem Blue Cross Partnership Plan","Elevance Health, Inc."
"H4172","2","NHC ADVANTAGE, LLC","NHC Advantage","Missouri Healthcare Advisors, LLC"
"H4185","2","NEIGHBORHOOD HEALTHCARE","Neighborhood Healthcare PACE","Neighborhood HealthCare"
"H4193","1","HAP CARESOURCE","HAP CareSource MI Coordinated Health","Henry Ford Health System"
"H4203","2","PRISMA HEALTH-MIDLANDS","Prisma Health SeniorCare PACE-Midlands","Prisma Health"
"H4213","6","USABLE MUTUAL INSURANCE COMPANY","Arkansas Blue Medicare","USAble Mutual Insurance Company"
"H4227","2","VISTA HEALTH PLAN, INC.","VISTA Health Plan Inc.","Independence Health Group, Inc."
"H4232","2","AMERICAN HEALTH PLAN OF UT, INC.","American Health Advantage of Utah","Mitchell Family Office"
"H4235","2","SENIOR TOTAL LIFE CARE, INC.","Senior Total Life Care","CaroMont Health, Inc."
"H4256","2","PACE NORTH, INC.","PACE North","PACE North"
"H4279","2","UPMC FOR YOU, INC","UPMC for Life Complete Care","UPMC Health System"
"H4286","4","LEON HEALTH, INC.","Leon Health, Inc.","LMC Family Holdings, LLC"
"H4305","2","TOTAL LIFE HEALTHCARE","Total Life Healthcare","St. Bernard's Healthcare"
"H4326","2","PACE @ HOME, INC.","Senior TLC","PACE @ Home"
"H4329","1","HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana","Humana Inc."
"H4346","22","HMO COLORADO, INC.","Anthem Blue Cross and Blue Shield","Elevance Health, Inc."
"H4348","7","DEVOTED HEALTH INSURANCE COMPANY OF KANSAS","Devoted Health","Devoted Health, Inc."
"H4371","1","SENIOR WHOLE HEALTH, LLC","Molina Healthcare of Massachusetts","Molina Healthcare, Inc."
"H4393","2","CATHOLIC MANAGED LONG TERM CARE, INC.","ArchCare Senior Life","Catholic Health Care System"
"H4402","2","ALEXIAN BROTHERS COMMUNITY SERVICES","Ascension Living Alexian PACE","Ascension Health Alliance"
"H4407","8","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","HealthSpring","Health Care Service Corporation"
"H4439","3","PROVIDER PARTNERS HEALTH PLAN OF NORTH CAROLINA","Provider Partners Health Plans","Rifkin Managed Care Holding, LLC"
"H4444","3","PROVIDER PARTNERS HEALTH PLAN OF INDIANA","Provider Partners Health Plans","Rifkin Managed Care Holding, LLC"
"H4445","2","TUNGSTEN HEALTH SOUTH LOS ANGELES, LLC","Habitat Health South Los Angeles","Tungsten Health Holdings, LLC"
"H4461","50","CARITEN HEALTH PLAN INC.","Humana","Humana Inc."
"H4471","3","BLUE CROSS OF CALIFORNIA PARTNERSHIP PLAN, INC.","Anthem Blue Cross","Elevance Health, Inc."
"H4473","5","DEVOTED HEALTH INSURANCE COMPANY OF UTAH, INC.","Devoted Health","Devoted Health, Inc."
"H4490","2","AMERICAN HEALTH PLAN OF MISSOURI, INC.","American Health Advantage of Missouri","Mitchell Family Office"
"H4497","7","MEDICAL MUTUAL OF OHIO","Medical Mutual of Ohio","MEDICAL MUTUAL OF OHIO"
"H4499","1","SENTARA HEALTH PLANS","Sentara Medicare","Sentara Health Care (SHC)"
"H4506","3","SELECTCARE OF TEXAS, INC.","Wellcare","Centene Corporation"
"H4513","52","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","HealthSpring","Health Care Service Corporation"
"H4514","13","UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C.","UnitedHealthcare","UnitedHealth Group, Inc."
"H4517","2","AMARILLO MULTISVC CTR FR THE AGING INC","The Basics at Jan Werner","Amarillo Multisvc Ctr Fr the Aging Inc"
"H4518","2","BIENVIVIR SENIOR HEALTH SERVICES","Bienvivir Senior Health Services","Bienvivir Senior Health Services"
"H4523","20","AETNA HEALTH INC. (TX)","Aetna Medicare","CVS Health Corporation"
"H4527","26","PHYSICIANS HEALTH CHOICE OF TEXAS, LLC","UnitedHealthcare","UnitedHealth Group, Inc."
"H4537","3","WELLCARE HEALTH INSURANCE COMPANY OF OKLAHOMA, INC.","Wellcare","Centene Corporation"
"H4538","2","SEEN HEALTH SAN GABRIEL VALLEY, LLC","Seen Health San Gabriel Valley, LLC","Seen Health San Gabriel Valley, LLC"
"H4544","2","PEOPLES HEALTH, INC.","Peoples Health","UnitedHealth Group, Inc."
"H4545","2","K-DAY, INC.","K-Day PACE","K-DAY INC"
"H4556","0","CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC","Consolidated Assoc Of Railroad Employees Hc","Consolidated Assoc of Railroad Employees HC"
"H4604","23","UNITEDHEALTHCARE OF THE ROCKIES, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H4605","7","REGENCE BLUECROSS BLUESHIELD OF UTAH","Regence BlueCross BlueShield of Utah","Cambia Health Solutions, Inc."
"H4610","2","UNITEDHEALTHCARE OF NEW ENGLAND, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H4623","2","HUMANA REGIONAL HEALTH PLAN, INC.","Humana","Humana Inc."
"H4624","27","ZING HEALTH OF MICHIGAN, INC.","Zing Health","Zing Health Consolidator, Inc"
"H4626","2","myPlace Greater LA PACE Inc.","myPlace PACE","SCAN Group"
"H4647","2","NEW CENTURY HEALTH PLAN, INC.","UCLA Health Medicare Advantage Plan","The Regents of the University of California"
"H4661","3","CELTIC INSURANCE COMPANY","Wellcare","Centene Corporation"
"H4676","2","TROY HEALTH, INC.","Troy Medicare","Troy Holdings, Inc."
"H4694","4","HEALTHKEEPERS, INC.","Anthem HealthKeepers","Elevance Health, Inc."
"H4704","2","ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY","Anthem Blue Cross Life and Health Insurance Company","Elevance Health, Inc."
"H4711","9","COVENTRY HEALTH CARE OF NEBRASKA, INC.","Aetna Medicare","CVS Health Corporation"
"H4714","2","PACE OF THE SOUTHERN PIEDMONT, INC.","PACE of the Southern Piedmont","PACE of the Southern Piedmont, Inc."
"H4733","1","COMMUNITY HEALTH GROUP","Community Health Group","Community Health Group"
"H4739","1","SELECT HEALTH OF SOUTH CAROLINA, INC.","First Choice VIP Care (HMO D-SNP)","Independence Health Group, Inc."
"H4754","4","PACIFICSOURCE COMMUNITY HEALTH PLANS","PacificSource Medicare","PacificSource"
"H4808","5","DEVOTED HEALTH INSURANCE COMPANY OF COLORADO INC","Devoted Health","Devoted Health, Inc."
"H4835","3","AETNA BETTER HEALTH OF OKLAHOMA INC.","Aetna Medicare","CVS Health Corporation"
"H4847","4","WELLCARE OF SOUTH CAROLINA, INC.","Wellcare","Centene Corporation"
"H4868","5","NEW YORK QUALITY HEALTHCARE CORPORATION","Wellcare","Centene Corporation"
"H4869","5","GOLD KIDNEY OF ARIZONA","Gold Kidney Health Plan","Gold Kidney Health Plan"
"H4875","13","PRIORITY HEALTH","Priority Health Medicare","Corewell Health"
"H4882","9","HEALTHPARTNERS, INC.","HealthPartners","HealthPartners, Inc."
"H4906","0","C AND O EMPLOYEES' HOSPITAL ASSOCIATION","C and O Employees' Hospital Association","C & O Employees' Hospital Association"
"H4909","14","ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","Elevance Health, Inc."
"H4919","2","INNOVAGE FLORIDA PACE, LLC","InnovAge Florida  PACE - Tampa","Total Community Options, Inc."
"H4931","2","BANNER - UNIVERSITY CARE ADVANTAGE","Banner Medicare Advantage","Banner Health"
"H4937","7","CALIFORNIA PHYSICIANS' SERVICE","Blue Shield of California","California Physicians' Service"
"H4939","3","ARCADIAN HEALTH PLAN, INC.","Humana","Humana Inc."
"H4961","7","ALIGNMENT HEALTH PLAN","Alignment Health Plan","Alignment Healthcare USA, LLC"
"H4982","10","AETNA BETTER HEALTH OF CALIFORNIA INC.","Aetna Medicare","CVS Health Corporation"
"H4999","2","LIFE Northwestern Pennsylvania, LLC","LIFE Northwestern Pennsylvania","One Senior Care, Inc."
"H5007","2","PROVIDENCE HEALTH & SERVICES â€“ WASHINGTON","Providence PACE - Washington","Providence Health & Services"
"H5008","9","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc."
"H5009","6","REGENCE BLUESHIELD","Regence BlueShield","Cambia Health Solutions, Inc."
"H5015","2","TEXAS INDEPENDENCE HEALTH PLAN, INC.","Texas Independence Health Plan","Regency ISNP Holdings LLC"
"H5037","2","MOUNTAIN EMPIRE OLDER CITIZENS, INC.","Mountain Empire PACE","Mountain Empire Older Citizens, Inc"
"H5042","3","CDPHP UNIVERSAL BENEFITS, INC.","CDPHP Medicare Advantage","Lifetime Healthcare, Inc."
"H5050","19","KAISER FOUNDATION HEALTH PLAN OF WASHINGTON","Kaiser Permanente","Kaiser Foundation Health Plan, Inc."
"H5080","2","BOLDAGE PACE INDIANA, LLC","BoldAge PACE","BoldAge PACE, LLC"
"H5085","2","COMMUNITY PACE AT HOME, INC","Community PACE at Home, Inc,","Community PACE at Home, Inc"
"H5087","3","WELLCARE OF CALIFORNIA, INC.","Wellcare","Centene Corporation"
"H5106","11","HIGHMARK SENIOR SOLUTIONS COMPANY","Highmark Blue Cross Blue Shield","Highmark Health"
"H5117","1","LOUISIANA HEALTHCARE CONNECTIONS, INC.","Wellcare","Centene Corporation"
"H5119","1","CONTRA COSTA COUNTY MEDICAL SERVICE DBA CONTRA COSTA HEALTH PLAN","Contra Costa Health Care Plus (HMO D-SNP)","Contra Costa Health Services"
"H5124","2","FRANCISCAN ACO, INC.","Franciscan  Senior Health & Wellness","Franciscan Alliance, Inc."
"H5141","15","CLOVER INSURANCE COMPANY","Clover Health","Clover Health Holdings, Inc."
"H5163","4","VERDA HEALTH PLAN OF TEXAS INC","Verda Health Plan of Texas","Verda Healthcare, Inc."
"H5167","2","ROCKY MOUNTAIN HEALTH CARE SERVICES","Rocky Mountain PACE","Bethesda Foundation"
"H5178","1","HUMANA HEALTH PLAN, INC.","Humana","Humana Inc."
"H5190","1","SUNSHINE STATE HEALTH PLAN, INC.","Wellcare","Centene Corporation"
"H5209","2","Molina Healthcare of Wisconsin, Inc.","Molina Healthcare of Wisconsin","Molina Healthcare, Inc."
"H5211","6","SECURITY HEALTH PLAN OF WISCONSIN, INC.","Security Health Plan of Wisconsin, Inc.","Sanford Health"
"H5212","2","COMMUNITY CARE, INC.","Community Care","CareSource"
"H5213","2","TOTAL COMMUNITY CARE, L.L.C.","InnovAge New Mexico PACE","Total Community Options, Inc."
"H5215","13","NETWORK HEALTH INSURANCE CORPORATION","Network Health Medicare Advantage Plans","Network Health, Inc."
"H5216","264","HUMANA INSURANCE COMPANY","Humana","Humana Inc."
"H5232","1","PARAMOUNT INSURANCE COMPANY","Paramount Elite Medicare Plans","MEDICAL MUTUAL OF OHIO"
"H5244","8","SCAN HEALTH PLAN (NM)","SCAN Health Plan","SCAN Group"
"H5253","141","UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H5256","4","MEDICAL ASSOCIATES CLINIC HEALTH PLAN","Medical Associates Clinic Health Plan of Wisconsin","Medical Associates Clinic, P.C."
"H5262","16","QUARTZ HEALTH PLAN CORPORATION","Quartz Medicare Advantage (HMO)","University of Wisconsin Hospitals and Clincs Autho"
"H5264","2","DEAN HEALTH PLAN, INC.","Dean Health Plan, Inc.","Medica Holding Company"
"H5272","1","ABSOLUTE TOTAL CARE, INC.","Wellcare","Centene Corporation"
"H5273","5","CAREPARTNERS OF CONNECTICUT, INC.","CarePartners of Connecticut","Point32Health, Inc."
"H5294","14","SUPERIOR HEALTHPLAN, INC.","Wellcare","Centene Corporation"
"H5296","12","ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC.","Alignment Health Plan","Alignment Healthcare USA, LLC"
"H5299","11","DEVOTED HEALTH PLAN OF NORTH CAROLINA INC","Devoted Health","Devoted Health, Inc."
"H5302","7","AETNA HEALTH INC. (GA)","Aetna Medicare","CVS Health Corporation"
"H5314","2","TUFTS HEALTH PUBLIC PLANS, INC.","Tufts Health Plan","Point32Health, Inc."
"H5322","19","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc."
"H5325","10","COVENTRY HEALTH CARE OF KANSAS, INC.","Aetna Medicare","CVS Health Corporation"
"H5361","3","AMERIHEALTH INSURANCE COMPANY OF NEW JERSEY","AmeriHealth","Independence Health Group, Inc."
"H5374","1","LONGEVITY HEALTH PLAN OF NORTH CAROLINA, INC.","Longevity Health Plan","Longevity Health Founders, LLC"
"H5377","2","HUMANA MEDICAL PLAN OF PENNSYLVANIA, INC.","Humana","Humana Inc."
"H5380","2","VISTA COMMUNITY CLINIC","Vista Community Clinic PACE","Vista Community Clinic"
"H5386","7","SHARP HEALTH PLAN","Sharp Health Plan","Sharp Healthcare"
"H5397","5","DEVOTED HEALTH PLAN OF HAWAII, INC.","Devoted Health","Devoted Health, Inc."
"H5403","2","ON LOK SENIOR HEALTH SERVICES","On Lok PACE","On Lok, Inc."
"H5405","2","CENTER FOR ELDERS INDEPENDENCE","Center For Elders' Independence","Center For Elders Independence"
"H5406","2","SUTTER VALLEY HOSPITALS","Sutter SeniorCare PACE","Sutter Valley Hospitals"
"H5410","17","HEALTHSPRING OF FLORIDA, INC.","HealthSpring","Health Care Service Corporation"
"H5420","6","Preferred Care Network, Inc.","UnitedHealthcare","UnitedHealth Group, Inc."
"H5422","12","BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA","Anthem Blue Cross and Blue Shield","Elevance Health, Inc."
"H5425","54","SCAN HEALTH PLAN","SCAN Health Plan","SCAN Group"
"H5427","25","FREEDOM HEALTH, INC.","Freedom Health, Inc.","Elevance Health, Inc."
"H5431","13","HEALTHSUN HEALTH PLANS, INC.","HealthSun Health Plans, Inc.","Elevance Health, Inc."
"H5433","1","ORANGE COUNTY HEALTH AUTHORITY","CalOptima Health OneCare","Orange County Health Authority"
"H5434","21","BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.","Florida Blue","Guidewell Mutual Holding Corporation"
"H5435","2","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc."
"H5439","5","HEALTH NET LIFE INSURANCE COMPANY","Wellcare","Centene Corporation"
"H5447","2","COMMUNITY FIRST HEALTH PLANS, INC.","Community First","Bexar County Hospital District"
"H5453","11","DEVOTED HEALTH INSURANCE COMPANY OF GEORGIA INC","Devoted Health","Devoted Health, Inc."
"H5471","50","SIMPLY HEALTHCARE PLANS, INC.","Simply Healthcare Plans, Inc.","Elevance Health, Inc."
"H5472","11","ALIGNMENT HEALTH INSURANCE COMPANY OF ARIZONA INC","Alignment Health Plan","Alignment Healthcare USA, LLC"
"H5475","5","MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Wellcare","Centene Corporation"
"H5493","2","LIFE AT ST. FRANCIS HEALTHCARE, INC.","Saint Francis LIFE","Trinity Health Corporation"
"H5496","3","IMPERIAL HEALTH PLAN OF CALIFORNIA, INC.","Imperial Health Plan of California, Inc.","Imperial Health Plan of California"
"H5521","200","AETNA LIFE INSURANCE COMPANY","Aetna Medicare","CVS Health Corporation"
"H5522","36","AETNA LIFE INSURANCE COMPANY","Aetna Medicare","CVS Health Corporation"
"H5525","46","HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana","Humana Inc."
"H5526","7","Highmark Western and Northeastern New York Inc.","Highmark Blue Cross Blue Shield or Highmark Blue Shield","Highmark Health"
"H5528","2","EMBLEMHEALTH PLAN, INC.","EmblemHealth","EmblemHealth, Inc."
"H5533","11","UPMC HEALTH NETWORK, INC.","UPMC for Life","UPMC Health System"
"H5538","2","TRINITY HEALTH PACE OF PENSACOLA","Trinity Health PACE of Pensacola","Trinity Health Corporation"
"H5549","3","VNS CHOICE","VNS Health Medicare","Visiting Nurse Service of New York"
"H5577","35","MCS ADVANTAGE, INC.","MCS Classicare","MHH Healthcare, L.P."
"H5580","3","MERCY CARE","Mercy Care Advantage","Mercy Care"
"H5587","1","HEALTH CHOICE ARIZONA, INC.","Blue Cross Blue Shield of Arizona Health Choice","Blue Cross Blue Shield of Arizona"
"H5590","2","Bridgeway Health Solutions of Arizona, Inc.","Wellcare","Centene Corporation"
"H5591","7","MARTIN'S POINT GENERATIONS ADVANTAGE, INC.","Martin's Point Generations Advantage","Martin's Point Health Care, Inc."
"H5593","2","AETNA HEALTH OF IOWA INC.","Aetna Medicare","CVS Health Corporation"
"H5594","15","OPTIMUM HEALTHCARE, INC.","Optimum HealthCare, Inc.","Elevance Health, Inc."
"H5599","5","NEW YORK QUALITY HEALTHCARE CORPORATION","Wellcare","Centene Corporation"
"H5608","2","DENVER HEALTH MEDICAL PLAN, INC.","Elevate Medicare Advantage","Denver Health and Hospital Authority"
"H5610","2","CARE RESOURCES","Care Resources","Care Resources"
"H5619","71","ARCADIAN HEALTH PLAN, INC.","Humana","Humana Inc."
"H5622","2","CARE GUIDE PARTNERS, INC.","Care Guide Partners","Hosparus Health Inc"
"H5628","4","MOLINA HEALTHCARE OF UTAH, INC.","Molina Healthcare of Utah & Idaho","Molina Healthcare, Inc."
"H5629","2","COMMUNITY ELDERCARE OF SAN DIEGO","St. Paul's PACE","St. Paulâ€™s Episcopal Home"
"H5644","3","NETWORK HEALTH INSURANCE CORPORATION","Network Health Medicare Advantage Plans","Network Health, Inc."
"H5649","12","CENTRAL HEALTH PLAN OF CALIFORNIA, INC.","Central Health Medicare Plan","Molina Healthcare, Inc."
"H5652","6","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H5692","1","SANTA CRUZ MONTEREY MERCED SAN BENITO MARIPOSA MANAGED MEDICAL CARE COMMISSION","Central California Alliance for Health","SANTA CRUZ MONTEREY MERCED SAN BENITO MARIPOSA MAN"
"H5703","1","SOUTH COUNTRY HEALTH ALLIANCE","South Country Health Alliance","South Country Health Alliance"
"H5718","6","DEVOTED HEALTH INSURANCE COMPANY OF KENTUCKY INC","Devoted Health","Devoted Health, Inc."
"H5734","1","SAN JOAQUIN COUNTY HEALTH COMMISSION","Health Plan of San Joaquin / Mountain Valley Health Plan Advantage D-SNP (HMO)","SAN JOAQUIN COUNTY HEALTH COMMISSION"
"H5774","30","TRIPLE S ADVANTAGE, INC.","Triple S Advantage","Guidewell Mutual Holding Corporation"
"H5779","5","MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Wellcare","Centene Corporation"
"H5793","10","AETNA HEALTH INC. (CT)","Aetna Medicare","CVS Health Corporation"
"H5810","1","MOLINA HEALTHCARE OF CALIFORNIA","Molina Healthcare of California","Molina Healthcare, Inc."
"H5822","2","MIDLAND CARE CONNECTION","Midland Care PACE","Midland Care Connection, Inc."
"H5823","2","MOLINA HEALTHCARE OF WASHINGTON, INC.","Molina Healthcare of Washington, Inc.","Molina Healthcare, Inc."
"H5826","2","COMMUNITY HEALTH PLAN OF WASHINGTON","Community Health Plan of WA Medicare Advantage","Community Health Plan of Washington"
"H5828","9","WELLPOINT TENNESSEE, INC.","Wellpoint","Elevance Health, Inc."
"H5843","1","BANNER HEALTH PLAN, INC.","Banner Medicare Advantage","Banner Health"
"H5852","1","AIDS HEALTHCARE FOUNDATION","AHF","AIDS Healthcare Foundation"
"H5854","11","ANTHEM HEALTH PLANS, INC.","Anthem Blue Cross and Blue Shield","Elevance Health, Inc."
"H5859","1","HEALTH PLAN OF CAREOREGON, INC.","CareOregon Advantage","CareOregon, Inc."
"H5883","7","BLUE CARE NETWORK OF MICHIGAN","Blue Care Network","Blue Cross Blue Shield of Michigan Mutual Ins. Co."
"H5900","7","WELLMARK ADVANTAGE HEALTH PLAN, INC.","Wellmark Advantage Health Plan","Blue Cross Blue Shield of Michigan Mutual Ins. Co."
"H5902","2","SENIOR LIFE ALTOONA, INC.","Senior LIFE Altoona / Ebensburg / Indiana","Senior LIFE Altoona, Inc."
"H5926","3","MOLINA HEALTHCARE OF MICHIGAN, INC.","Molina Healthcare of Michigan","Molina Healthcare, Inc."
"H5928","2","California Physicians' Service","Blue Shield of California","California Physicians' Service"
"H5932","4","GATEWAY HEALTH PLAN, INC.","Highmark Wholecare Medicare Assured","Highmark Health"
"H5934","2","HOPE HOSPICE AND COMMUNITY SERVICES, INC.","Hope PACE","Chapters Health System, Inc."
"H5938","8","CAPITAL HEALTH PLAN","Capital Health Plan","Guidewell Mutual Holding Corporation"
"H5943","2","SCAN HEALTH PLAN","VillageHealth","SCAN Group"
"H5945","13","PROMINENCE HEALTHFIRST","Prominence Health Plan","Universal Health Services, Inc."
"H5959","13","BCBSM, Inc.","Blue Cross and Blue Shield of Minnesota","Aware Integrated, Inc."
"H5965","4","WELLCARE HEALTH INSURANCE COMPANY OF WASHINGTON","Wellcare","Centene Corporation"
"H5969","2","ALOHACARE","AlohaCare","AlohaCare"
"H5970","19","HUMANA INSURANCE COMPANY OF NEW YORK","Humana","Humana Inc."
"H5978","2","SENIOR LIFE LEHIGH VALLEY, INC.","Senior LIFE Lehigh Valley / Reading","Senior LIFE Lehigh Valley, Inc."
"H5989","1","HEALTHFIRST HEALTH PLAN, INC.","Healthfirst Medicare Plan","Healthfirst, Inc."
"H5991","3","HEALTH INSURANCE PLAN OF GREATER NEW YORK","EmblemHealth","EmblemHealth, Inc."
"H5992","2","SENIOR WHOLE HEALTH OF NEW YORK, INC.","Senior Whole Health of New York","Molina Healthcare, Inc."
"H5993","2","LAWNDALE CHRISTIAN HEALTH CENTER","Lawndale Christian Health Center","Lawndale Christian Health Center"
"H5995","1","ATRIO HEALTH PLANS","ATRIO Health Plans","ATRIO Health Plans"
"H6018","6","DEVOTED HEALTH INSURANCE COMPANY OF PENNSYLVANIA INC","Devoted Health","Devoted Health, Inc."
"H6019","1","SAN MATEO HEALTH COMMISSION","HEALTH PLAN OF SAN MATEO","Health Plan of San Mateo"
"H6059","2","PACE OF GUILFORD AND ROCKINGHAM COUNTIES, INC.","PACE OF THE TRIAD","Well-Spring Services, Inc."
"H6078","6","Group Retiree Health Solutions, Inc.","Blue Medicare Advantage","Elevance Health, Inc."
"H6079","2","TOTAL LONGTERM CARE, INC.","InnovAge California PACE","Total Community Options, Inc."
"H6081","2","HIGH DESERT PACE, INC,","High Desert PACE","High Desert PACE, Inc."
"H6130","18","FENYX HEALTH INSURANCE COMPANY","Fenyx Health","Fenyx Health Holdings, Inc."
"H6142","0","UNION HEALTH SERVICES, INC.","Union Health Service, Inc.","Union Health Services, Inc."
"H6147","2","LOMA LINDA UNIVERSITY MEDICAL CENTER","Loma Linda University Health PACE","Loma Linda University Medical Center"
"H6154","1","MEDICA HEALTH PLANS","Medica","Medica Holding Company"
"H6158","2","USABLE HMO, INC.","Arkansas Blue Medicare","USAble Mutual Insurance Company"
"H6170","7","CHAMPION HEALTH PLAN OF CALIFORNIA INC","Champion Heath Plan","Champion Health Plans-USA, LLC."
"H6188","2","VIECARE ARMSTRONG, LLC","LIFE Armstrong","Lutheran SeniorLife"
"H6200","11","ESSENCE HEALTHCARE PPO, INC.","Essence Healthcare","Lumeris Group Holdings Corporation"
"H6202","8","NEXTBLUE OF NORTH DAKOTA INSURANCE COMPANY","NextBlue of North Dakota","Blue Cross Blue Shield of Michigan Mutual Ins. Co."
"H6224","1","HIGHMARK HEALTH OPTIONS WEST VIRGINIA INC.","Highmark Blue Cross Blue Shield","Highmark Health"
"H6231","2","FRANCISCAN PACE, INC.","PACE Baton Rouge","Franciscan Missionaries of Our Lady Health System"
"H6237","1","REGENCE BLUECROSS BLUESHIELD OF OREGON","Regence BlueCross BlueShield of Oregon","Cambia Health Solutions, Inc."
"H6248","1","COMMUNITY HEALTH GROUP","Community Health Group","Community Health Group"
"H6251","2","TRINITY HEALTH PACE OF MONTGOMERY COUNTY","Trinity Health PACE of Montgomery County","Trinity Health Corporation"
"H6309","4","HEALTHPARTNERS INSURANCE COMPANY","HealthPartners","HealthPartners, Inc."
"H6316","2","MISSOURI CARE, INCORPORATED","Healthy Blue","Elevance Health, Inc."
"H6317","2","WELBEHEALTH BAY AREA PACE, LLC","WelbeHealth","WelbeHealth LLC."
"H6322","3","MCLAREN HEALTH PLAN, INC.","McLaren Medicare","McLaren Health Care Corporation"
"H6334","0","NY HOTEL TRADES COUNCIL & HOTEL ASSOCIATION OF NYC","NY Hotel Trades Council and Hotel Assn. of NYC","NY Hotel Trades Council&Hotel Assn of NYC"
"H6341","1","AMERIHEALTH MICHIGAN, INC.","AmeriHealth Caritas VIP Care","Independence Health Group, Inc."
"H6342","2","COMPLETE HEALTH WITH PACE","Baptist Health PACE","Baptist Health (Arkansas)"
"H6345","2","PRUITTHEALTH PREMIER NORTH CAROLINA, LLC","PruittHealth Premier","UNICO Services, Inc."
"H6348","4","COORDINATED CARE CORPORATION","Wellcare","Centene Corporation"
"H6351","3","LIBERTY ADVANTAGE, LLC","Liberty Medicare Advantage","Liberty Healthcare Insurance"
"H6368","2","ELITE HEALTH PLAN, INC.","Elite Health Plan, Inc.","Elite Health Systems, Inc."
"H6371","2","LUTHERAN SENIOR HEALTHCARE, INC.","Lutheran Senior LIFE","Lutheran Social Ministries of New Jersey"
"H6378","1","AMERIHEALTH CARITAS FLORIDA, INC.","AmeriHealth Caritas VIP Care (HMO-D-SNP)","Independence Health Group, Inc."
"H6396","1","CARESOURCE OHIO, INC.","CareSource MyCare Ohio (HMO D-SNP)","CareSource"
"H6399","1","AETNA BETTER HEALTH INC. (NJ)","Aetna Medicare","CVS Health Corporation"
"H6425","2","WASHINGTON REGIONAL MEDICORP","PACE of the Ozarks","Washington Regional Medical System"
"H6453","9","HMO LOUISIANA, INC.","Blue Cross and Blue Shield of Louisiana","Louisiana Health Service & Indemnity Company"
"H6474","7","CHAMPION HEALTH PLAN OF NEVADA, INC.","Champion Health Plan","Champion Health Plans-USA, LLC."
"H6515","5","MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare of Texas, Inc.","Molina Healthcare, Inc."
"H6517","2","Family HealthCare Network (FHCN) PACE","Family HealthCare Network PACE","Family Healthcare Network"
"H6529","1","SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC.","MyTruAdvantage","SIHO Holding, Inc."
"H6537","2","TUNGSTEN HEALTH SACRAMENTO, LLC","Habitat Health Sacramento","Tungsten Health Holdings, LLC"
"H6541","2","HORIZON-PACE, LLC","Horizon - PACE","American Health Management, Inc."
"H6545","2","Devoted Health Insurance Company of Illinois, Inc.","Devoted Health","Devoted Health, Inc."
"H6550","3","SUNFLOWER STATE HEALTH PLAN, INC.","Wellcare","Centene Corporation"
"H6551","2","LIFE ST. MARY","LIFE St. Mary","Trinity Health Corporation"
"H6566","1","LAGNIAPPE ADVANTAGE INSURANCE COMPANY","Lagniappe Advantage","Curana Health Holdings, LLC"
"H6586","5","DEVOTED HEALTH INSURANCE COMPANY OF ARIZONA, INC.","Devoted Health","Devoted Health, Inc."
"H6595","3","UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H6596","2","FALLON HEALTH WEINBERG, INC.","Fallon Health Weinberg","Fallon Community Health Plan, Inc."
"H6622","53","HUMANA WI HEALTH ORGANIZATION INSURANCE CORP","Humana","Humana Inc."
