enumeration_approach,payer_id,payer_lbn,plan_id,plan_name,fhir_url,fhir_url_vendor,fhir_url_type,sandbox_fhir_url,documentation_url,swagger_url,open_api_url,well_known_url
HIOS,66966,,,Capital Health Plan Qualified Health Plan,https://auth.capitalhealthplanfhir.com/oauth2/authorize/system-chpqhp,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
HIOS,66966,,,Capital Health Plan Qualified Health Plan,https://api.capitalhealthplanfhir.com/r4/public-qhp/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,68069,,,Partners Health Management,https://api.partnershealthfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.partnershealthfhir.com/r4,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,68069,,,Partners Health Management,https://auth.partnershealthfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,68069,,,Partners Health Management,https://api.partnershealthfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,76498,,,Maryland Physicians Care,https://api.mpcfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.mpcfhir.com/r4,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,76498,,,Maryland Physicians Care,https://auth.mpcfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,76498,,,Maryland Physicians Care,https://api.mpcfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
HIOS,81413,NETWORK HEALTH INSURANCE CORPORATION,,Network Health,https://api.networkhealthfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.networkhealthfhir.com/r4,http://docs.1up.health/docs,,,
HIOS,81413,NETWORK HEALTH INSURANCE CORPORATION,,Network Health,https://auth.networkhealthfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
HIOS,81413,NETWORK HEALTH INSURANCE CORPORATION,,Network Health,https://api.networkhealthfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
HIOS,85408,,,GlobalHealth,https://api.globalhealthfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.globalhealthfhir.com/r4,http://docs.1up.health/docs,,,
HIOS,85408,,,GlobalHealth,https://auth.globalhealthfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
HIOS,85408,,,GlobalHealth,https://api.globalhealthfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
HIOS,85736,"ASPIRUS HEALTH PLAN, INC.",,"UCare, Aspirus",https://api.ucarefhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.ucarefhir.com/r4,http://docs.1up.health/docs,,,
HIOS,85736,,,UCare,https://auth.ucarefhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
HIOS,85736,,,UCare,https://api.ucarefhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
HIOS,88806,FALLON COMMUNITY HEALTH PLAN,,Fallon Health,https://api.fallonhealthfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.fallonhealthfhir.com/r4,http://docs.1up.health/docs,,,
HIOS,88806,FALLON COMMUNITY HEALTH PLAN,,Fallon Health,https://auth.fallonhealthfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
HIOS,88806,FALLON COMMUNITY HEALTH PLAN,,Fallon Health,https://api.fallonhealthfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
HIOS,93689,,,Western Health Advantage Commercial,https://api.westernhealthfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.westernhealthfhir.com/r4,http://docs.1up.health/docs,,,
HIOS,93689,,,Western Health Advantage Commercial,https://auth.westernhealthfhir.com/oauth2/authorize/system-commercial,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
HIOS,93689,,,Western Health Advantage Commercial,https://api.westernhealthfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
NAIC,95491,,,CDPHP,https://api.cdphpfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.cdphpfhir.com/r4,http://docs.1up.health/docs,,,
NAIC,95491,,,CDPHP,https://auth.cdphpfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
NAIC,95491,,,CDPHP,https://api.cdphpfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
HIOS,96384,,,"Cox HealthPlans - MedicareAdvantage, Cox HealthPlans - Individual Marketplace",https://api.coxhealthplanfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.coxhealthplanfhir.com/r4/,http://docs.1up.health/docs,,,
HIOS,96384,,,Cox HealthPlans - Individual Marketplace,https://auth.coxhealthplanfhir.com/oauth2/authorize/system-ex,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
HIOS,96384,,,Cox HealthPlans - Individual Marketplace,https://api.coxhealthplanfhir.com/r4/publicProdEx/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
NAIC,05827,VNS CHOICE,,"VNSNY, VNSNY CHOICE",https://api.vnshealthfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.vnshealthfhir.com/r4,http://docs.1up.health/docs,,,
NAIC,05827,VNS CHOICE,,VNSNY,https://auth.vnshealthfhir.com/oauth2/authorize/system-select,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
NAIC,05827,,,VNSNY CHOICE,https://auth.vnshealthfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
NAIC,05827,VNS CHOICE,,"VNSNY, VNSNY CHOICE",https://api.vnshealthfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
EIN,redacted,,,Cook County Health CountyCare ,https://api.cookcountyhealthfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.cookcountyhealthfhir.com/r4,http://docs.1up.health/docs,,,
EIN,redacted,,,Cook County Health CountyCare ,https://auth.cookcountyhealthfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
EIN,redacted,,,Cook County Health CountyCare ,https://api.cookcountyhealthfhir.com/r4/publiccountycare/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,CCHS,CHINESE COMMUNITY HEALTH PLAN,,"Chinese Community Health Plan (CCHP), Balance",https://api.chinesecommunityhealthplanfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.chinesecommunityhealthplanfhir.com/r4 ,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,CCHS,CHINESE COMMUNITY HEALTH PLAN,,Chinese Community Health Plan (CCHP),https://auth.chinesecommunityhealthplanfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,CCHS,CHINESE COMMUNITY HEALTH PLAN,,Chinese Community Health Plan (CCHP),https://api.chinesecommunityhealthplanfhir.com/r4/publicCCHP/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,CHA01,,,Cascade Health Alliance,https://api.cascadecompfhir.com/r4,1upHealth,carin_bluebutton_endpoint,ttps://api.cascadecompfhir.com/r4,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,CHA01,,,Cascade Health Alliance,https://auth.cascadecompfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
