enumeration_approach,payer_id,payer_lbn,plan_id,plan_name,fhir_url,fhir_url_vendor,fhir_url_type,sandbox_fhir_url,documentation_url,swagger_url,open_api_url,well_known_url
NAIC,16607,"ZING HEALTH OF MICHIGAN, INC.",58 full contract-PBP IDs see MA Plan ID(s) column in working sheet,Zing Health,https://api.zinghealthfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.zinghealthfhir.com/r4,http://docs.1up.health/docs,,,
NAIC,16607,"ZING HEALTH OF MICHIGAN, INC.",58 full contract-PBP IDs see MA Plan ID(s) column in working sheet,Zing Health,https://auth.zinghealthfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
NAIC,16607,"ZING HEALTH OF MICHIGAN, INC.",58 full contract-PBP IDs see MA Plan ID(s) column in working sheet,Zing Health,https://api.zinghealthfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
NAIC,16657,,,Yamhill Community Care,https://api.yamhillfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.yamhillfhir.com/r4,http://docs.1up.health/docs,,,
NAIC,16657,,,Yamhill Community Care,https://auth.yamhillfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
NAIC,16657,,,Yamhill Community Care,https://api.yamhillfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
NAIC,16982,"HPMP OF FLORIDA, INC.",,"Florida Community Care, Florida Complete Care",https://api.ilshealthfhir.com/r4/,1upHealth,carin_bluebutton_endpoint,https://api.ilshealthfhir.com/r4/,http://docs.1up.health/docs,,,
NAIC,16982,"HPMP OF FLORIDA, INC.",,Florida Community Care,https://auth.ilshealthfhir.com/oauth2/authorize/system-comm,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
NAIC,16982,"HPMP OF FLORIDA, INC.",,Florida Complete Care,https://auth.ilshealthfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
NAIC,16982,"HPMP OF FLORIDA, INC.",,Florida Community Care,https://api.ilshealthfhir.com/r4/publicFCC/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
NAIC,16982,"HPMP OF FLORIDA, INC.",,Florida Complete Care,https://api.ilshealthfhir.com/r4/publicFC2/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
HIOS,20069,,,Oscar,https://api.oscarfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.oscarfhir.com/r4,http://docs.1up.health/docs,,,
HIOS,20069,,,Oscar,https://auth.oscarfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
HIOS,20069,,,Oscar,https://api.oscarfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
HIOS,28162,AULTCARE HEALTH INSURING CORPORATION,,AultCare,https://api.aultcarefhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.aultcarefhir.com/r4,http://docs.1up.health/docs,,,
HIOS,28162,AULTCARE HEALTH INSURING CORPORATION,,AultCare,https://auth.aultcarefhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
HIOS,28162,AULTCARE HEALTH INSURING CORPORATION,,AultCare,https://api.aultcarefhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
HIOS,29678,"SAPPHIRE EDGE, INC.",,Blue Cross Blue Shield Nebraska,https://api.bcbsnefhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.bcbsnefhir.com/r4,http://docs.1up.health/docs,,,
HIOS,29678,"SAPPHIRE EDGE, INC.",,Blue Cross Blue Shield Nebraska,https://auth.bcbsnefhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
HIOS,29678,"SAPPHIRE EDGE, INC.",,Blue Cross Blue Shield Nebraska,https://api.bcbsnefhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
HIOS,29854,,,Alliant Health Plans,https://api.allianthealthplansfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.alllianthealthplansfhir.com/r4,http://docs.1up.health/docs,,,
HIOS,29854,,,Alliant Health Plans,https://auth.allianthealthplansfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
HIOS,29854,,,Alliant Health Plans,https://api.allianthealthplansfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
HIOS,32225,,,Mountain Health CO-OP,https://api.mountainhealthfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.mountainhealthfhir.com/r4,http://docs.1up.health/docs,,,
HIOS,32225,,,Mountain Health CO-OP,https://auth.mountainhealthfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
HIOS,32225,,,Mountain Health CO-OP,https://api.mountainhealthfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
HIOS,36194,,,Health First ,https://api.healthfirstfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.healthfirstfhir.com/r4,http://docs.1up.health/docs,,,
HIOS,36194,,,Health First ,https://auth.healthfirstfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
HIOS,36194,,,Health First ,https://api.healthfirstfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
